Kuracie rezne chladené (cca 1050g),~7.97 €
Kuracie rezne (cca 625g),~4.74 €
Kuracie rezne (cca 650g),~5.52 €
Kuracie Soté (cca 500g),~3.55 €
Kurča bez drobkov chladené chladené (cca 1600g),~7.18 €
Kuracie stehná celé chladené (cca 500g),~2.30 €
Kuracie stehná horné chladené (cca 600g),~2.93 €
Kuracie stehná dolné chladené (cca 600g),~2.93 €
Morčacie prsia bez kosti a kože chladené (cca 750g),~6.74 €
Bravčová krkovička bez kosti chladená (cca 1100g),~8.57 €
Losos filet s kožou (cca 300g),~6.57 €
Údený losos divoký plátky Vici 100g,3.59 €
Vici Losos porcie bez kože 250g,5.79 €
Mylord Divoký losos gorbuša filety 500 g,6.99 €
Kimbex Žralok steak 350g,2.99 €
Kimbex Makrela pitvana 800g,4.99 €
